CustNo,Branch SDN Name,LATITUDE,LONGITUDE,reverse_geotag_mediatrac,address_sap,checking,revisi_latlong
5810031033,SDN Semarang,-6.96757,110.236146,"5810031033 Binangun, Kaliwungu Sel., Kendal, Jawa Tengah 51372, Indonesia 51372","JL. SROGO - PLANTARAN NO. 5 RT, 03 RW. 04 KALIWUNGU SELATAN KENDAL",ok,
5810011499,SDN Semarang,-7.302186,110.489872,"5810011499 Blotongan Blok A No.1, Sidorejo, Kota Salatiga, Jawa Tengah 50715, Indonesia 50715",JL. DELIKO V/ 59 SALATIGA -,not ok,
5810011827,SDN Semarang,-7.253485,110.413328,"5810011827 Bougenvile IIIA, Ambarawa, Semarang, Jawa Tengah 50612, Indonesia 50612",JL. BOUGENVILE I NO. 08 ( BLKG BKKBN ) KUPANG AMBARAWA,ok,
5810035547,SDN Semarang,-6.912414,110.633265,"5810035547 Gang 2, Wonosalam, Demak, Jawa Tengah 59571, Indonesia 59571",JL. JOGOLOYO NO. 67 JOGOLOYO WONOSALAM DEMAK,not ok,
5810011873,SDN Semarang,-7.006627,110.466314,"5810011873 Gg. 1, Pedurungan, Kota Semarang, Jawa Tengah 50246, Indonesia 50246",JL. PALEBON RAYA NO. 184 SEMARANG -,ok,
5810011801,SDN Semarang,-6.9764551,110.42567,"5810011801 Gg. Baru No.5, Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia 50139",JL. GANG BARU  106  SEMARANG -,ok,
5810011802,SDN Semarang,-6.9764551,110.42567,"5810011802 Gg. Baru No.5, Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia 50139",JL. GANG BARU 12  SEMARANG -,ok,
5810011803,SDN Semarang,-6.9764551,110.42567,"5810011803 Gg. Baru No.5, Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia 50139",JL. GANG BARU 124 SEMARANG -,ok,
5810011804,SDN Semarang,-6.9764551,110.42567,"5810011804 Gg. Baru No.5, Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia 50139",JL. GANG BARU 63 - SEMARANG -,ok,
5810011891,SDN Semarang,-6.9764551,110.42567,"5810011891 Gg. Baru No.5, Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia 50139",JL. GANG BARU 68  -  SEMARANG -,ok,
5810011805,SDN Semarang,-6.9764551,110.42567,"5810011805 Gg. Baru No.5, Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia 50139",JL. GANG BARU NO.74 SEMARANG -,ok,
5810012190,SDN Semarang,-6.9764551,110.42567,"5810012190 Gg. Baru No.5, Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia 50139",JL. GANG BARU NO.77  SEMARANG -,ok,
5810032232,SDN Semarang,-6.9764868,110.4275123,"5810032232 Gg. Besen, Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia 50139",GANG BESEN NO. 73 KRANGGAN SEMARANG TENGAH SEMARANG,ok,
5810019118,SDN Semarang,-6.919686,110.205597,"5810019118 Gg. Gembyang III, Kendal, Kendal, Jawa Tengah 51311, Indonesia 51311",PS. PAGI - KALIWUNGU -,not ok,"-6.956752, 110.250385"
5810035853,SDN Semarang,-7.021771299999999,110.5137904,"5810035853 Gg. Jagalan Baru, Mranggen, Demak, Jawa Tengah 59567, Indonesia 59567",JL. BRUMBUNG NO. 19 RT. 1 RW. 03 MRANGGEN DEMAK,ok,
5810035734,SDN Semarang,-7.021771299999999,110.5137904,"5810035734 Gg. Jagalan Baru, Mranggen, Demak, Jawa Tengah 59567, Indonesia 59567",JL. BRUMBUNG RT. 01 RW. 2 MRANGGEN -,ok,
5810011899,SDN Semarang,-7.054759199999999,110.3964404,"5810011899 Gg. Jeruk, Gn. Pati, Kota Semarang, Jawa Tengah 50229, Indonesia 50229",JL. RAYA SEKARAN GG. JERUK NO. 5 RT. 003 RW. 002 GUNUNG PATI SEMARANG,ok,
5810012256,SDN Semarang,-7.0102427,110.3909755,"5810012256 Gg. Menoreh Tengah III, Gajahmungkur, Kota Semarang, Jawa Tengah 50232, Indonesia 50232",JL. MENOREH TENGAH III / 17B SEMARANG -,ok,
5810032250,SDN Semarang,-7.103116,110.408334,"5810032250 Gg. Sido Sari, Banyumanik, Kota Semarang, Jawa Tengah 50265, Indonesia 50265",PERUM PESONA ASRI NO. 54 GEDAWANG SEMARANG,ok,
5810012237,SDN Semarang,-7.018228,110.3900076,"5810012237 Gg. Talang Sendang I, Gajahmungkur, Kota Semarang, Jawa Tengah 50235, Indonesia 50235",JL. TALANG SENDANG I RT. 001 RW. 002 BENDAN DUWUR SEMARANG,ok,
5810012025,SDN Semarang,-7.055415999999999,110.4007551,"5810012025 Jalan Cempaka Sari, Gn. Pati, Kota Semarang, Jawa Tengah 50229, Indonesia 50229",JL. CEMPAKA SARI TIMUR NO. 85 SEKARAN SEMARANG,ok,
5810002434,SDN Semarang,-6.9003375,110.6261097,"5810002434 Jalan Flamboyan I, Kec. Demak, Demak, Jawa Tengah 59511, Indonesia 59511",JL. FLAMBOYAN BLOK M-14 RT. 004 RW. 005 KATONSARI DEMAK,ok,
5810011852,SDN Semarang,-7.016386,110.39318,"5810011852 Jalan Kendeng Barat 6 No.36, Gajahmungkur, Kota Semarang, Jawa Tengah 50232, Indonesia 50232",JL. LAMONGAN RAYA 8A SEMARANG -,ok,
5810002425,SDN Semarang,-6.8747604,110.6791886,"5810002425 Jalan Kyai Palembang, Kec. Demak, Demak, Jawa Tengah 59517, Indonesia 59517",JL. KYAI PALEMBAN DEMAK -,ok,
5810012297,SDN Semarang,-6.994579,110.418089,"5810012297 ""Jalan Menteri Supeno I, Semarang Sel., Kota Semarang, Jawa Tengah 50249, Indonesia 50249",JL. MENTERI SUPENO I/1 SEMARANG SEMARANG MUGASSARI,ok,
5810002462,SDN Semarang,-6.898336,110.635173,"5810002462 Jalan Sultan Fatah, Kec. Demak, Demak, Jawa Tengah 59515, Indonesia 59515",Jl. Sultan Fatah Demak PS. BINTORO A2 NO. 34 ( DEPAN TANGGA ) BINTORO DEMAK,ok,
5810029464,SDN Semarang,-6.8983363,110.6351734,"5810029464 Jalan Sultan Fatah, Kec. Demak, Demak, Jawa Tengah 59515, Indonesia 59515",JL. SULTAN FATAH NO. 02 RT. 010 RW. 002 BINTORO DEMAK,ok,
5810002491,SDN Semarang,-6.898336,110.635173,"5810002491 Jalan Sultan Fatah, Kec. Demak, Demak, Jawa Tengah 59515, Indonesia 59515","JL. SULTAN FATAH NO. 7-667 BOGORAME, MAN GUNJIWAN, DEMAK, DEMAK, JAWA TENGAH 5951",ok,
5810011823,SDN Semarang,-6.991448,110.437846,"5810011823 Jalan Sumbawa I, Semarang Tim., Kota Semarang, Jawa Tengah 50232, Indonesia 50232","JL. PURI ANJASMORO BL.C-1 NO. 10 RT.009 RW.002, TAWANG MAS, SEMARANG BARAT",not ok,"-6.970225, 110.386216"
5820000215,SDN Semarang,-6.900338,110.627088,"5820000215 Jalan Teuku Umar, Kec. Demak, Demak, Jawa Tengah 59511, Indonesia 59511",JL. TEUKU UMAR NO. 76 DEMAK -,ok,
5810035362,SDN Semarang,-7.089612799999999,110.4232005,"5810035362 Jalan Watukaji Raya, Banyumanik, Kota Semarang, Jawa Tengah 50266, Indonesia 50266",JL. RAYA WATU KAJI NO. 41 GEDAWANG BANYUMANIK SEMARANG,ok,
5810012283,SDN Semarang,-6.999406,110.43245,"5810012283 Jalan Wonodri Krajan II, Semarang Sel., Kota Semarang, Jawa Tengah 50242, Indonesia 50242",JL. MT. HARYONO NO. 655 RT. 001 RW. 007 WONODRI SEMARANG SELATAN SEMARANG,ok,
5810005506,SDN Semarang,-6.925923,110.154149,"5810005506 Jalur Pantura No.107, Cepiring, Kendal, Jawa Tengah 51352, Indonesia 51352",JL. RAYA CEPIRING -,ok,
5810012136,SDN Semarang,-7.002526,110.449208,"5810012136 Jend. S Sudiarto, Gayamsari, Kota Semarang, Jawa Tengah 50248, Indonesia 50248",PS. GAYAM LOS TENGAH JL. MAJAPAHIT SEMARANG,ok,
5810022420,SDN Semarang,-6.9998,110.44467,"5810022420 Jend. S Sudiarto, Gayamsari, Kota Semarang, Jawa Tengah 50249, Indonesia 50249",BINTORO KECIL II PANDEAN LAMPER SEMARANG,not ok,"-6.992518, 110.441717"
5810002643,SDN Semarang,-7.053386,110.661588,"5810002643 Jend. S Sudiarto, Gubug, Grobogan, Jawa Tengah 58164, Indonesia 58164",GUBUG RT. 003 RW. 009 GUBUG GROBOGAN -,ok,
5810002648,SDN Semarang,-7.053386,110.661588,"5810002648 Jend. S Sudiarto, Gubug, Grobogan, Jawa Tengah 58164, Indonesia 58164",JL. BHAYANGKARA 35 GUBUG -,not ok,"-7.080137, 110.916901"
5810002432,SDN Semarang,-7.040554,110.56458,"5810002432 Jend. S Sudiarto, Karangawen, Demak, Jawa Tengah 59566, Indonesia 59566",JL RAYA KARANGAWEN ( SBLM PASAR KANAN JALAN ) DEMAK,ok,
5810002442,SDN Semarang,-7.0397854,110.5615258,"5810002442 Jend. S Sudiarto, Karangawen, Demak, Jawa Tengah 59566, Indonesia 59566",JL. RAYA TEGOWANU KARANGAWEN DEMAK -,ok,
5810017559,SDN Semarang,-7.039785,110.561526,"5810017559 Jend. S Sudiarto, Karangawen, Demak, Jawa Tengah 59566, Indonesia 59566",PS. KARANG AWEN0 -,ok,
5810012324,SDN Semarang,-7.001803,110.380257,"5810012324 Jl. Abdul Rahman Saleh, Semarang Bar., Kota Semarang, Jawa Tengah 50183, Indonesia 50183",JL. ABDUL RAHMAN SALEH NO. 570 MANYARAN SEMARANG,ok,
